ID;Statement;Keywords;Degree difficulty;Course;Chapter;University
222;The total cost for obtaining 5 units of the product is 810 lei. By producing an additional unit of the same product, the total cost for the two units produced will increase by 70 lei. Given that the total fixed cost is 200 lei, and the Marginal Cost for the production of 5 units of product was 70 lei,;;0.82;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
223;The total cost for obtaining a product unit is 370 lei. By producing an additional unit of the same product, the total cost for the two units produced will increase by 150 lei. Given that the total fixed cost is 200 lei, for two units produced;;0.91;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
224;The average cost is a cost category that can be said to be;;0.06;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
225;Marginal cost is a cost category that can be said to be;;0.33;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
226;The average fixed cost is a cost category that can be said to be;;0.62;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
227;The full cost is determined by summing the following cost categories;;0.31;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
228;The total cost for obtaining 8 units of the product is 890 lei. By producing an additional unit of the same product, the total cost for the nine units produced will increase to 1060 lei. Given that the total fixed cost is 200 lei, for nine units produced;;0.01;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
229;Between the equilibrium price and the price  the market may have the following correlations;;0.59;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
230;A firm may choose to set a price below cost when;;0.82;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
231;An enterprise in a monopoly situation can  propose as a price setting strategy;;0.25;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
232;Returns to scale can be;;0.8;Economics 101;Indicators;"""1 Decembrie 1918"" University of Alba-Iulia"
233;What is the definition rural space;;0.32;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
234;The functions rural space according to the European Charter of Rural Space , are;;0.82;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
235;"The new Rural Development policy of the European Union, which has become the ""Second Pillar of the PAC"", is based on the following principles";;0.73;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
236;The major objectives of the Rural Development Policies of the European Union are;;0.85;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
237;PNDR 2007-2013 Axis I Measure 112 - Installation of young farmers - the support provided will be oriented towards the modernization of agricultural holdings through the following types of actions;;0.96;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
238;PNDR 2007-2013 Axis I Measure 121 - Modernization of agricultural holdings . What are the investments that can be made through this measure;;0.39;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
239;PNDR 2007-2013 Axis 2 – Improving the environment in rural areas . The general objective of this axis is;;0.39;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
240;In the demographic evolution of the European Union, please specify the trends manifested in the last decade;;0.68;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
241;The agri-food system in economically developed countries has the following characteristics;;0.09;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
242;PNDR 2007-2013 Axis I Measure 111 - Professional training, information and dissemination of knowledge . What are the types of actions supported;;0.53;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
243;The structure of the rural area , seen through the economic and social prism, is differentiated into;;0.43;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
244;The Western European agro-food system is based on several fundamental characteristics;;0.64;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
245;The rural development measures as presented in the legal document (EC) 1227/1999 of May 17, 1999 are;;0.39;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
246;The key areas of Pillar II (Rural Development Policy) established by the European Union are;;0.11;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
247;What are the documents specified in Council Regulation 1698/2005 establishing new rules for programming and monitoring the implementation of programs to regulate the rural development policy put into practice by the member states;;0.32;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
248;Following the Conference in Salzburg (November 2003) and the Strategic Guidelines of the European Council in Lisbon and Gothenburg, the following three major objectives of the rural development policy were established;;0.54;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
249;The strategic guidelines of the Rural Development Program of the European Union are;;0.52;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
250;Within the Rural Development Program of the European Union, the support regarding the competitiveness of the agricultural and forestry sector within Axis I will be embodied in the following measures that aim improvements human potential;;0.32;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
251;Within the Rural Development Program of the European Union, the support for land management under Axis II will take the form of the following measures aimed at encouraging the use of agricultural land;;0.82;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
252;Within the Rural Development Program of the European Union, the support regarding the diversification of the rural economy and the quality of life in rural areas within Axis III will be embodied in the following measures that pursue the diversification of the rural economy;;0.67;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
253;Regarding the characteristics of the rural area , from an economic point of view, it is characterized by;;0;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
254;From an occupational point of view , the rural area is characterized by;;0.49;Economics 101;Rural Areas;University of Agronomic Sciences and Veterinary Medicine Bucharest
255;Rural area is characterized by;;0.82;Economics 101;Rural Areas;University of Agronomic Sciences and Veterinary Medicine Bucharest
256;Vertical development and integration is generated by at least the following factors;;0.16;Economics 101;Rural Areas;University of Agronomic Sciences and Veterinary Medicine Bucharest
257;The economic and social functions of agriculture are the following;;0.65;Economics 101;Rural Areas;University of Agronomic Sciences and Veterinary Medicine Bucharest
258;Sustainable agriculture represents;;0.82;Economics 101;Rural Areas;University of Agronomic Sciences and Veterinary Medicine Bucharest
259;What are the main job analysis requirements ?;;0.18;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
260;What are the main objectives of job analysis?;;0.4;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
261;What are the methods and techniques of job analysis?;;0.3;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
262;What are the most important aspects to consider when choosing job analysis methods?;;0.03;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
263;What are the operational factors in job definition?;;0.83;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
264;What are the principles of scientific management applied in job design?;;0.62;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
265;Recruitment policies and managerial practices in this field are affected by a series of constraints or numerous external and internal factors. Which are these?;;0;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
266;What are the advantages of internal recruitment ?;;0.35;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
267;What are the disadvantages of internal recruitment ?;;0;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
268;What are the advantages of external recruitment ?;;0.33;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
269;What are the disadvantages of external recruitment ?;;0.13;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
270;The reasons why some managers do not express their appreciation when this is required are;;0.8;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
271; The given definition of professional performance evaluation completes the evaluation concept with some additional elements, which are;;0.19;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
272;The evaluation of human resources or their performance involves several distinct activities . These are;;0.94;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
273;What are the potential problems and sources of errors in the professional performance evaluation process?;;0.52;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
274;The causes that lead to the overestimation of performances are;;0.96;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
275;What are the ways or methods of action that can lead to the prevention or dimming of potential problems and sources of errors identified in the performance evaluation process?;;0.51;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
276;Reward strategies must meet a number of requirements . These must;;0.67;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
277;The reward system comprises several components. These are;;0.81;Management;Human Resources;"""1 Decembrie 1918"" University of Alba-Iulia"
278;The development of any payroll system must take into account some general principles. These are;;0.01;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
279;Human resources have, within the organization , some particularities such as;;0.5;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
280;What are the main advantages of job enrichment ?;;0.25;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
281;The choice and dynamics of the professional career are influenced by factors such as;;0.87;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
282;evaluation objectives have in mind;;0.25;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
283;Aspects that make it difficult to introduce performance-related pay systems refer to;;0.84;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
284;The reasons why organizations choose and use a job evaluation method have in mind;;0.1;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
285;What are the main characteristics of personnel administration ?;;0.23;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
286;According to specialized literature, the concept of career has several meanings that refer to;;0.76;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
287;The aspects that must be taken into account when formulating strategies in the field of human resources refer to;;0.15;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
288;The personnel strategy must be oriented towards;;0.62;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
289;In order for human resources policies to achieve their proposed objectives, they must;;0.55;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
290;What are the main requirements of the job description?;;0.38;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
291;In the development of the job specification there may be some risks related to;;0.28;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
292;Human resources planning offers a number of advantages that refer to;;0.43;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
293;The characteristics of human resource management derive from aspects that refer to;;0.08;Management;Human Resources;University of Agronomic Sciences and Veterinary Medicine Bucharest
294;The land regime consists of;;0.83;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
295;The land fund is made up of the following groups of land;;0.2;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
296;The earth is characterized by a series of specific properties;;0.67;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
297;The earth is characterized by the following types of fertility;;0.96;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
298;Land improvements consist of two large categories of works;;0.87;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
299;Determining the value of the land is necessary for;;0.79;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
300;Although the price of the earth is still the subject of disagreements between economists in relation to their belonging to one school of thought or another, which of the following  price explanations _ earth belong to the neo-classics;;0.66;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
301;production system can be considered as;;0.56;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
302;The basic features of agriculture as a branch of material production are;;0.54;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
303;The relationship between industry and agriculture in the contemporary period can be appreciated by;;0.53;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
304;The characteristics of the Western European agri-food system are based on several fundamental ideas;;0.91;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
305;In the agricultural production process, indissoluble links were created between land ownership, land exploitation and agricultural exploitation itself, giving rise to complex rural structures, determining the following forms of exploitation;;0.73;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
306;The economic-social organization of agricultural production in the post-December period was determined by the adoption of the following laws;;0.6;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
307;""" The operation of raising on the ground, fixing on plans and in special registers the entire land property of a country"", this definition belongs";;0.52;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
308;The land value estimation methods can be classified according to several criteria, depending on the purpose pursued and the elements available at the time of evaluation . Specify which methods are distinguished, according to the procedure used?;;0.56;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
309;"Differential rent is a more general economic category, which  it is due to the existence of the law of decreasing soil fertility , it is an extra profit  conditioned by the fact that one of the factors of production has an advantage of being in someone's possession"", this definition is given by";;0.82;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
310;identified the particularities of agriculture;;0.92;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
311;The influence of industry on agriculture consists of the following;;0.28;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
312;The main characteristic of community legislation is;;0.73;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
313;What is the basic characteristic of the market economy from the property point of view ?;;0.63;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
314;Identify the disadvantages of the way of valuing the land;;0.27;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
315;Depending on the destination , the land fund is made up of the following groups of land;;0.7;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
316;What are the components of the general land cadastre?;;0.36;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
317;The value of the land is expressed by;;0.81;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
318;"That part of the product of the soil that we pay to have the right to exploit the productive, original and imperishable faculties of the soil"" is the definition of land rent that we find in";;0.38;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
319;"""The land cadastre is the operation by which it is determined the surface and the quality of the soil, with the net income that produces it: the determination of the surface is called the technical cadastre, and the determination of the natural and economic quality of the soil is done by the economic section of the cadastre"". Track the we find a definition in";;0.15;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
320;In specialized literature we find several categories of soil fertility . Which of them appears as a result of human action , finally expressing itself through the level of production per surface unit ?;;0.5;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
321;The Western European agri-food system is based on the following fundamental ideas;;0.28;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
322;The advantages of private property compared to public property are;;0.67;Economics 101;Land Reclamation;University of Agronomic Sciences and Veterinary Medicine Bucharest
323;The potential chemical hazards that influence food safety are;;0.57;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
324;potential danger for food safety is defined as follows;;0.36;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
325;The identification of critical control points is done with the help of;;0.93;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
326;Monitoring has a role;;0.97;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
327;safety management system is done according to the standard;;0.02;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
328;quality management system has the role of a;;0.6;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
329;The HACCP system;;0.57;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
330;The standard that refers to the definition quality is;;0.75;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
331;The ISO 17025/2005 standard refers to;;0.93;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
332;The term food safety refers to;;0.81;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
333;By Critical Control Point is meant;;0.55;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
334;The risk assessment is carried out with the help of;;0.03;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
335;The monitoring system of the parameters of a PCC must include;;0.66;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
336;The corrections applied to non-compliant products must ensure that;;0.01;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
337;From the point of view of the relationship between the auditor and the auditee, audits are classified as follows;;0.73;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
338;The term traceability implies;;0.83;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
339;Continuous improvement represents ;;0.3;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
340;The ISO 9001/2008 standard refers to;;0.83;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
341;Who is responsible for formulating corrective actions following a certification audit;;0.81;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
342;Which of the following standards refers to: Terms, definitions and vocabulary in the field of quality management;;0.57;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
343;Which of the following utterances represent principles of quality management;;0.83;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
344;The standard that specifies how to conduct an audit is;;0.49;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
345;The factors that contribute to the achievement of quality are represented by;;0.62;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
346;The potential physical hazards related to a food product are;;0.15;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
347;They belong to the category of major allergens;;0.18;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
348;The ingredients on the label of a food product must be mentioned;;0.19;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
349;The methods used to obtain audit evidence are the following;;0.82;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
350;The stages of an audit carried out IN A I am a company;;0.15;Management;Quality Management;University of Agronomic Sciences and Veterinary Medicine Bucharest
351;The legislative acts established at the level of the European Union that directly and indirectly regulate the Common Agricultural Policy are;;0.09;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
352;The guiding principles of the common agricultural policy were established by the Treaty of Rome in article 38 - In 1958, at the Stressa conference , the principles of the application and functioning of the CAP were established . Which are these;;0.18;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
353;The classic levers of the working mechanism of the PAC are;;0.16;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
354;The key elements of the new CAP reform started in 2003 that will fundamentally change the support system for farms and rural areas in the period 2007-2013 are;;0.78;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
355;The General Agreement on Tariffs and Trade (GATT) has as its main objective;;0.58;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
356; The World Trade Organization (WTO) is based on a series of principles that constitute the foundation of the world trade system. These principles are;;0.41;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
357; The major changes that occurred due to the radical reform measures of the CAP included in Agenda 2000 and in the subsequent packages determined the emergence  the following types of Common Market Organization;;0.43;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
358;In Regulation (EC) 1234/2007, part two - Internal market , the issues related to;;0.2;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
359;Romania, as a member state of the European Union, has the obligation to apply schemes and mechanisms of intervention on the market starting from 2007, as follows;;0.43;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
360;socio-economic implications of the agricultural support policies were;;0.9;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
361;The main features of the new reform (CAP Reform Newsletter, July 2004) are;;0.62;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
362;The key elements of the new CAP reform aim;;0.13;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
363;"Cross- compliance is a cross approach to the support system granted to farmers who undertake to fulfill a "" priority list "" that includes different European standards in the following areas";;0.7;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
364;The new CAP reform (Pillar II) ensures the application of an integrated strategy for rural development, based on four key principles;;0.89;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
365;The new European model of agriculture is focused on multifunctional agriculture and responds better to the requirements market and rural development . It covers a number of aspects, of which we consider the most important;;0.82;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
366;A careful analysis of the content of all the regulations of the Common Organizations of Agricultural Markets reveals the fact that they contain , in their essence , provisions regarding;;0.92;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
367;The General Agreement on Tariffs and Trade (GATT) is dominated by three major principles;;0.3;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
368;The Marrakesh Agreement on the establishment of the WTO, in its preamble, provides the basic objectives, similar to those of the GATT, but which have been expanded to give the WTO the mandate to deal with trade in services. These are;;0.19;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
369;What are the benefits of the WTO trade system, in acceptance you ?;;0.22;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
370;challenges of the CAP 2014-2020 are;;0.55;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
371;Changes introduced by the CAP in the period 2014-2020;;0.65;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
372;In the new CAP 2014-2020, new measures regarding risk management are provided . These are;;0.79;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
373;The objectives of the Common Agricultural Policy were defined by the Treaty of Rome, as follows;;0.68;Economic Policies;European Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
374;The functions of management are;;0.73;Management;Functions;University of Agronomic Sciences and Veterinary Medicine Bucharest
375;The forecasting function materializes in;;0.37;Management;Functions;University of Agronomic Sciences and Veterinary Medicine Bucharest
376;The stages of the decision-making process are;;0.61;Management;Functions;University of Agronomic Sciences and Veterinary Medicine Bucharest
377;Depending on the scope and the time horizon, the strategies can be;;0.31;Management;Functions;University of Agronomic Sciences and Veterinary Medicine Bucharest
378;What impact will the melting of polar ice and a reduction in permafrost have on the human use of high-latitude ecosystems, and how will these changes in human use affect biodiversity?;;0.43;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
379;Which elements of biodiversity in which locations are most vulnerable to climate change, including extreme events?;;0.56;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
380;How is the resilience of ecosystems to climate change affected by human activities and interventions?;;0.18;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
381;What factors determine the rates at which coastal ecosystems can respond to sea-level rise, and which of these are amenable to management?;;0.91;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
382;How will climate change, together with other environmental stressors, alter the distribution and prevalence of diseases of wild species?;;0.98;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
383;How will human responses to climate change (e.g., changes in agriculture, resource conflicts, and migration) affect biodiversity?;;0.98;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
384;How might biodiversity policies and management practices be modified and implemented to accommodate climate change?;;0.21;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
385;How might emerging carbon markets affect biodiversity through their impacts on the protection, management, and creation of habitats?;;0.37;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
386;What are the potential effects of feedbacks between climate change and ecosystem dynamics (e.g., drought, forest dieback, and coral bleaching) on the effectiveness of policy measures to sequester carbon and protect biodiversity?;;0.49;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
387;How much carbon is sequestered by different ecosystems, including their soils, and how can these ecosystems be managed to contribute most effectively to the mitigation of climate change?;;0.49;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
388;How, where, and to what extent can natural and seminatural ecosystems contribute to climate change adaptation and mitigation?;;0.24;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
389;How will climate change affect the distribution and impacts of climate-dependent disturbance regimes, such as fire?;;0.19;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
390;How will climate change affect global food production, and what are the resulting consequences for ecosystems and agrobiodiversity?;;0.57;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
391;How does biodiversity shape social resilience to the effects of climate change?;;0.54;Ecology;Biodiversity;University of Agronomic Sciences and Veterinary Medicine Bucharest
392;What is the significance of topological approach?;;0.18;Topological Chemistry;Topological Approach;University of Pitesti
393;Can new chemical concepts be found by a topological approach?;;0.94;Topological Chemistry;Topological Approach;University of Pitesti
394;What is the status of a chemical concept within a topological approach?;;0.03;Topological Chemistry;Topological Approach;University of Pitesti
395;Should topological approaches provide measurable quantities?;;0.3;Topological Chemistry;Topological Approach;University of Pitesti
396;Is it possible to predict the outcome of a topological approach without performing a calculation on a computer?;;0.62;Topological Chemistry;Topological Approach;University of Pitesti
397;What are new domains for which topological approaches would be useful?;;0.41;Topological Chemistry;Topological Approach;University of Pitesti
398;The Little Prince is one of the most beloved children's books. Its French author is:;;0.71;Universal Literature;Authors;University of Pitesti
399;"He is one of the most famous contemporary writers, and in 2006 he won the Nobel Prize for Literature. Among his novels are ""The Woman with Red Hair"", ""The Black Book"", ""My Name is Red"", ""The Museum of Innocence"" or ""The White Fortress"". Is about:";;0.34;Universal Literature;Authors;University of Pitesti
400;"Lewis Carroll, the author of the famous fantasy novel ""Alice in Wonderland"" was from:";;0.71;Universal Literature;Authors;University of Pitesti
401;The Great Gatsby, one of the most famous American novels, was written by:;;0.4;Universal Literature;Authors;University of Pitesti
402;"The author of the novel ""Anna Karenina"" is:";;0.65;Universal Literature;Authors;University of Pitesti
403;Who was the first Governor of the Plymouth Colonies?;;1;History;Thanksgiving;University of Pitesti
404;Which one of these foods was not at the Pilgrims first Thanksgiving?;;0.08;History;Thanksgiving;University of Pitesti
405;The first Thanksgiving was proclaimed in 1621, yet this feast was not repeated until 1623.  What was the reason to celebrate in 1623?;;0.31;History;Thanksgiving;University of Pitesti
406;What was the average cost per pound of frozen whole turkey (2003 statistic)?;;0.5;History;Thanksgiving;University of Pitesti
407;"The Jewish Faith also celebrates a harvest festival called Sukkoth, named for ""succots"" which were…?";;0.94;History;Thanksgiving;University of Pitesti
408;The Pilgrims landed at Plymouth Rock on December 11th, 1620.  How many had died by the fall of 1621?;;0.34;History;Thanksgiving;University of Pitesti
409;The pilgrims first celebrated a Thanksgiving Dinner in 1621.  How many Indians were in attendance.;;0.86;History;Thanksgiving;University of Pitesti
410;This President called for the nation to observe a day of thanksgiving in 1789.  Who was he?;;0.53;History;Thanksgiving;University of Pitesti
411;Franklin Delano Roosevelt attempted to change Thanksgiving Day, effectively changing it to the third, rather than forth Thursday in the Month of November.  What was he thinking?;;0.26;History;Thanksgiving;University of Pitesti
412;What is the name of the English speaking American Indian who literally saved the pilgrims from starving in 1620 and 1621?;;0.53;History;Thanksgiving;University of Pitesti
413;Who missed the first seating at the first Thanksgiving dinner?;;0.46;History;Thanksgiving;University of Pitesti
414;What is another name for the Male Turkey?;;0.88;History;Thanksgiving;University of Pitesti
